target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8d1v_j_native_cut.pdb,8d1v_j_3drna_cut.pdb,0.37,0.44,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_drfold_cut.pdb,0.53,0.54,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_native_cut.pdb,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_rf_cut.pdb,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_rhofold_cut.pdb,0.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_rnac_cut.pdb,0.31,0.36,0.0,0.0,0.0,0.0,0.0,0.0
8d1v_j_native_cut.pdb,8d1v_j_trr_cut.pdb,0.4,0.44,0.0,0.0,0.0,0.0,0.0,0.0
