target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8d29_r_native_cut.pdb,8d29_r_3drna_cut.pdb,0.79,0.76,0.94,0.82,1.0,0.89,1.0,0.67
8d29_r_native_cut.pdb,8d29_r_drfold_cut.pdb,0.84,0.88,0.75,0.5,0.75,0.75,0.5,0.5
8d29_r_native_cut.pdb,8d29_r_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8d29_r_native_cut.pdb,8d29_r_rf_cut.pdb,0.72,0.71,0.8,0.71,0.75,0.86,1.0,0.5
8d29_r_native_cut.pdb,8d29_r_rhofold_cut.pdb,0.81,0.87,0.62,0.71,0.62,0.62,1.0,0.5
8d29_r_native_cut.pdb,8d29_r_rnac_cut.pdb,0.77,0.79,0.94,0.29,1.0,0.89,0.5,0.17
8d29_r_native_cut.pdb,8d29_r_trr_cut.pdb,0.86,0.86,0.8,1.0,0.75,0.86,1.0,1.0
