target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8ewg_b_native_cut.pdb,8ewg_b_3drna_cut.pdb,0.49,0.52,0.43,0.0,0.5,0.36,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_drfold_cut.pdb,0.52,0.58,0.35,0.0,0.12,1.0,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_native_cut.pdb,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_rf_cut.pdb,0.43,0.55,0.0,0.0,0.0,0.0,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_rhofold_cut.pdb,0.5,0.57,0.25,0.0,0.25,0.25,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_rnac_cut.pdb,0.45,0.5,0.36,0.0,0.5,0.27,0.0,0.0
8ewg_b_native_cut.pdb,8ewg_b_trr_cut.pdb,0.6,0.62,0.58,0.0,0.5,0.67,0.0,0.0
