target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8j1q_e_native_cut.pdb,8j1q_e_3drna_cut.pdb,0.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0
8j1q_e_native_cut.pdb,8j1q_e_drfold_cut.pdb,0.26,0.3,0.0,0.0,0.0,0.0,0.0,0.0
8j1q_e_native_cut.pdb,8j1q_e_native_cut.pdb,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
8j1q_e_native_cut.pdb,8j1q_e_rf_cut.pdb,0.32,0.38,0.0,0.0,0.0,0.0,0.0,0.0
8j1q_e_native_cut.pdb,8j1q_e_rhofold_cut.pdb,0.32,0.38,0.0,0.0,0.0,0.0,0.0,0.0
8j1q_e_native_cut.pdb,8j1q_e_rnac_cut.pdb,0.3,0.38,0.0,0.0,0.0,0.0,0.0,0.0
8j1q_e_native_cut.pdb,8j1q_e_trr_cut.pdb,0.27,0.32,0.0,0.0,0.0,0.0,0.0,0.0
