target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8ffy_c_native_cut.pdb,8ffy_c_3drna_cut.pdb,0.46,0.52,0.28,0.43,0.24,0.33,0.5,0.38
8ffy_c_native_cut.pdb,8ffy_c_drfold_cut.pdb,0.51,0.47,0.64,0.71,0.41,1.0,0.5,1.0
8ffy_c_native_cut.pdb,8ffy_c_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8ffy_c_native_cut.pdb,8ffy_c_rf_cut.pdb,0.6,0.62,0.61,0.46,0.47,0.8,0.5,0.43
8ffy_c_native_cut.pdb,8ffy_c_rhofold_cut.pdb,0.64,0.6,0.74,0.73,0.65,0.85,0.67,0.8
8ffy_c_native_cut.pdb,8ffy_c_rnac_cut.pdb,0.47,0.55,0.2,0.55,0.18,0.23,0.5,0.6
8ffy_c_native_cut.pdb,8ffy_c_trr_cut.pdb,0.7,0.69,0.77,0.67,0.59,1.0,0.67,0.67
