target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8sqj_t_native_cut.pdb,8sqj_t_3drna_cut.pdb,0.44,0.52,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_drfold_cut.pdb,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_native_cut.pdb,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_rf_cut.pdb,0.68,0.78,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_rhofold_cut.pdb,0.65,0.75,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_rnac_cut.pdb,0.41,0.49,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t_native_cut.pdb,8sqj_t_trr_cut.pdb,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0
