target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8do6_j_native_cut.pdb,8do6_j_3drna_cut.pdb,0.44,0.47,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_drfold_cut.pdb,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_native_cut.pdb,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_rf_cut.pdb,0.63,0.69,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_rhofold_cut.pdb,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_rnac_cut.pdb,0.61,0.67,0.0,0.0,0.0,0.0,0.0,0.0
8do6_j_native_cut.pdb,8do6_j_trr_cut.pdb,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0
