Target,df,drfold,rf,rhofold, rnac, trr, 3drna
r1107,0.38340,0.21834,0.32417,0.27456,0.20419,0.21581,0.17614
r1108,0.42616,0.37664,0.31859,0.32169,0.26309,0.33729,0.22968
r1126,0.19582,0.14553,0.15422,0.09347,0.14305,0.17468,0.17807
r1128,0.31834,0.26896,0.26414,0.31140,0.16543,0.29525,0.21809
r1136,0.17760,0.16981,0.13485,0.09920,0.17416,0.21050,0.19133
r1138,0.14280,NA,0.11548,0.10438,NA,0.17341,0.19464
r1189,0.17550,0.19022,0.21858,0.18762,0.18466,0.17946,0.18362
r1190,0.21419,0.22048,0.24922,0.23066,0.18266,0.19835,0.20739
