target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
r1136_native_rpr.pdb,r1136_native_rpr.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
r1136_native_rpr.pdb,r1136_3drna_rpr.pdb,0.8,0.81,0.85,0.53,0.78,0.93,0.42,0.68
r1136_native_rpr.pdb,r1136_df_rpr.pdb,0.79,0.83,0.74,0.52,0.55,0.99,0.36,0.76
r1136_native_rpr.pdb,r1136_rnac_rpr.pdb,0.78,0.76,0.89,0.57,0.82,0.96,0.53,0.61
r1136_native_rpr.pdb,r1136_trr_rpr.pdb,0.78,0.8,0.76,0.54,0.6,0.98,0.39,0.74
r1136_native_rpr.pdb,r1136_rf_rpr.pdb,0.69,0.77,0.51,0.28,0.3,0.88,0.17,0.46
r1136_native_rpr.pdb,r1136_drfold_rpr.pdb,0.31,0.32,0.44,0.09,0.22,0.91,0.11,0.08
r1136_native_rpr.pdb,r1136_rhofold_rpr.pdb,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0
