Target,df,drfold,rf,rhofold, rnac, trr, 3drna
pz1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
pz2,0.0,0.5,NA,0.0,0.0,0.0,0.0
pz3,0.7581699346405228,0.7843137254901961,0.8300653594771242,0.6862745098039216,0.45751633986928103,0.738562091503268,0.47058823529411764
pz4,0.8699551569506726,0.9192825112107623,0.9551569506726457,0.8340807174887892,0.49327354260089684,0.8475336322869955,0.7309417040358744
pz5,0.49122807017543857,0.6210526315789474,0.4982456140350877,0.4666666666666667,0.19298245614035087,0.49473684210526314,0.16842105263157894
pz6,0.20284697508896798,0.20640569395017794,0.20284697508896798,0.19217081850533807,0.12099644128113879,0.1494661921708185,0.12455516014234876
pz7,0.8204225352112676,0.897887323943662,0.8450704225352113,0.7992957746478874,0.6408450704225352,0.7429577464788732,0.6267605633802817
pz8,0.8409090909090909,0.9034090909090909,0.9318181818181818,0.7954545454545454,0.4602272727272727,0.8068181818181818,0.4943181818181818
pz9,0.6692913385826772,0.8740157480314961,0.968503937007874,0.7322834645669292,0.3779527559055118,0.8188976377952756,0.33858267716535434
pz10,0.7483443708609272,0.8543046357615894,0.8874172185430463,0.6556291390728477,0.2847682119205298,0.7549668874172185,0.5099337748344371
pz11,0.5086206896551724,0.5948275862068966,0.47413793103448276,0.5517241379310345,0.4396551724137931,0.6379310344827587,0.5431034482758621
pz12,0.8527918781725888,0.8477157360406091,0.8730964467005076,0.7868020304568528,0.2182741116751269,0.8324873096446701,0.5076142131979695
pz13,0.8545454545454545,0.8363636363636363,0.9636363636363636,0.8,0.7818181818181819,0.8909090909090909,0.7454545454545455
pz14,0.725,0.8875,0.7875,0.725,0.675,0.9125,0.725
pz15,0.8372093023255814,0.8837209302325582,1.0,0.8372093023255814,0.3953488372093023,0.8604651162790697,0.32558139534883723
pz16,0.9142857142857143,0.9142857142857143,1.0,0.8857142857142857,0.9714285714285714,0.8285714285714286,0.6285714285714286
pz17,0.8192771084337349,0.9036144578313253,0.37349397590361444,0.8072289156626506,0.20481927710843373,0.7710843373493976,0.1686746987951807
pz18,0.7863247863247863,0.8632478632478633,0.9572649572649573,0.7008547008547008,0.4444444444444444,0.8034188034188035,0.3418803418803419
pz19,0.631578947368421,0.6578947368421053,0.39473684210526316,0.6052631578947368,0.3684210526315789,0.47368421052631576,0.42105263157894735
pz20,0.6693548387096774,0.6854838709677419,0.3870967741935484,0.6290322580645161,0.532258064516129,0.7983870967741935,0.3467741935483871
pz21,0.8764044943820225,0.8314606741573034,0.9325842696629213,0.5393258426966292,0.25842696629213485,0.8314606741573034,0.2696629213483146
pz22,0.7795275590551181,0.8661417322834646,0.8582677165354331,0.4409448818897638,0.48031496062992124,0.7874015748031497,0.4566929133858268
pz23,0.6527777777777778,0.9027777777777778,0.9166666666666666,0.7083333333333334,0.2638888888888889,0.7222222222222222,0.08333333333333333
pz24,0.8417721518987342,0.8164556962025317,0.9493670886075949,0.5822784810126582,0.7278481012658228,0.7784810126582279,0.7025316455696202
pz25,0.7741935483870968,0.8306451612903226,0.9435483870967742,0.29838709677419356,0.4596774193548387,0.6612903225806451,0.4112903225806452
pz26,0.34951456310679613,0.7864077669902912,0.8155339805825242,0.5922330097087378,0.5145631067961165,0.5922330097087378,0.5728155339805825
pz27,0.608,0.584,0.34,0.44,0.076,0.552,0.416
pz28,0.7816091954022989,0.8333333333333334,0.9597701149425287,0.5977011494252874,0.5402298850574713,0.7471264367816092,0.47701149425287354
pz29,0.8461538461538461,0.782051282051282,0.9358974358974359,0.7435897435897436,0.358974358974359,0.8461538461538461,0.7051282051282052
pz30,0.6386554621848739,0.48739495798319327,0.2689075630252101,0.3697478991596639,0.5882352941176471,0.42857142857142855,0.5882352941176471
pz31,0.9032258064516129,0.7741935483870968,0.6129032258064516,0.8387096774193549,0.5268817204301075,0.8817204301075269,0.5483870967741935
pz32,0.8333333333333334,0.6538461538461539,0.5384615384615384,0.8333333333333334,0.5641025641025641,0.5769230769230769,0.5512820512820513
pz33,0.7297297297297297,0.4864864864864865,0.44594594594594594,0.527027027027027,0.5945945945945946,0.8243243243243243,0.527027027027027
pz34,0.6195652173913043,0.6521739130434783,0.5978260869565217,0.8586956521739131,0.5978260869565217,0.6630434782608695,0.5652173913043478
pz37,0.34210526315789475,0.2894736842105263,0.2631578947368421,0.41228070175438597,0.2719298245614035,0.2807017543859649,0.017543859649122806
pz38,0.5132743362831859,0.49557522123893805,0.168141592920354,0.46017699115044247,0.24778761061946902,0.2831858407079646,0.12389380530973451
