target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
7wju_native_cut.pdb,7wju_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7wju_native_cut.pdb,7wju_df_cut.pdb,0.76,0.77,0.81,0.6,0.79,0.83,0.6,0.6
7wju_native_cut.pdb,7wju_trr_cut.pdb,0.74,0.75,0.8,0.49,0.66,0.96,0.33,0.71
7wju_native_cut.pdb,7wju_rhofold_cut.pdb,0.72,0.74,0.78,0.33,0.63,0.96,0.27,0.4
7wju_native_cut.pdb,7wju_3drna_cut.pdb,0.7,0.7,0.75,0.42,0.66,0.86,0.27,0.67
7wju_native_cut.pdb,7wju_drfold_cut.pdb,0.65,0.64,0.8,0.34,0.68,0.93,0.27,0.44
7wju_native_cut.pdb,7wju_rf_cut.pdb,0.57,0.68,0.17,0.15,0.08,0.38,0.07,0.33
7wju_native_cut.pdb,7wju_rnac_cut.pdb,0.45,0.53,0.31,0.19,0.29,0.33,0.2,0.18
