target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8eyu_native_cut.pdb,8eyu_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8eyu_native_cut.pdb,8eyu_df_cut.pdb,0.66,0.67,0.96,0.18,0.92,1.0,0.07,0.5
8eyu_native_cut.pdb,8eyu_drfold_cut.pdb,0.64,0.67,0.96,0.0,0.92,1.0,0.0,0.0
8eyu_native_cut.pdb,8eyu_rf_cut.pdb,0.61,0.63,0.91,0.0,0.83,1.0,0.0,0.0
8eyu_native_cut.pdb,8eyu_rnac_cut.pdb,0.59,0.58,0.96,0.15,0.92,1.0,0.07,0.33
8eyu_native_cut.pdb,8eyu_3drna_cut.pdb,0.58,0.6,0.91,0.0,0.83,1.0,0.0,0.0
8eyu_native_cut.pdb,8eyu_trr_cut.pdb,0.57,0.62,0.71,0.0,0.58,0.88,0.0,0.0
8eyu_native_cut.pdb,8eyu_rhofold_cut.pdb,0.55,0.59,0.76,0.0,0.58,1.0,0.0,0.0
