target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
7xjz_native_cut.pdb,7xjz_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7xjz_native_cut.pdb,7xjz_rf_cut.pdb,0.86,0.87,0.95,0.55,1.0,0.9,0.6,0.5
7xjz_native_cut.pdb,7xjz_rhofold_cut.pdb,0.86,0.86,0.95,0.51,1.0,0.9,0.6,0.43
7xjz_native_cut.pdb,7xjz_trr_cut.pdb,0.85,0.87,0.94,0.22,0.94,0.94,0.2,0.25
7xjz_native_cut.pdb,7xjz_df_cut.pdb,0.79,0.77,0.92,0.6,1.0,0.85,0.6,0.6
7xjz_native_cut.pdb,7xjz_drfold_cut.pdb,0.76,0.74,0.95,0.0,1.0,0.9,0.0,0.0
7xjz_native_cut.pdb,7xjz_rnac_cut.pdb,0.66,0.63,0.91,0.0,0.88,0.94,0.0,0.0
7xjz_native_cut.pdb,7xjz_3drna_cut.pdb,0.61,0.6,0.75,0.0,0.71,0.8,0.0,0.0
