target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8h1j_native_cut.pdb,8h1j_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8h1j_native_cut.pdb,8h1j_df_cut.pdb,0.74,0.77,0.85,0.35,0.76,0.95,0.21,0.57
8h1j_native_cut.pdb,8h1j_rf_cut.pdb,0.71,0.74,0.8,0.4,0.72,0.9,0.16,1.0
8h1j_native_cut.pdb,8h1j_rnac_cut.pdb,0.66,0.7,0.63,0.46,0.6,0.65,0.21,1.0
8h1j_native_cut.pdb,8h1j_3drna_cut.pdb,0.59,0.7,0.36,0.13,0.28,0.47,0.05,0.33
8h1j_native_cut.pdb,8h1j_trr_cut.pdb,0.57,0.64,0.54,0.12,0.36,0.82,0.05,0.25
8h1j_native_cut.pdb,8h1j_drfold_cut.pdb,0.41,0.42,0.6,0.1,0.4,0.91,0.05,0.2
8h1j_native_cut.pdb,8h1j_rhofold_cut.pdb,0.24,0.26,0.45,0.0,0.2,1.0,0.0,0.0
