target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
8bf8_native_cut.pdb,8bf8_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8bf8_native_cut.pdb,8bf8_df_cut.pdb,0.74,0.75,0.88,0.38,0.83,0.93,0.26,0.56
8bf8_native_cut.pdb,8bf8_rnac_cut.pdb,0.72,0.76,0.74,0.46,0.77,0.72,0.32,0.67
8bf8_native_cut.pdb,8bf8_rhofold_cut.pdb,0.71,0.74,0.82,0.39,0.7,0.96,0.37,0.41
8bf8_native_cut.pdb,8bf8_rf_cut.pdb,0.7,0.7,0.86,0.46,0.77,0.96,0.21,1.0
8bf8_native_cut.pdb,8bf8_trr_cut.pdb,0.6,0.68,0.53,0.2,0.43,0.65,0.1,0.4
8bf8_native_cut.pdb,8bf8_3drna_cut.pdb,0.57,0.66,0.49,0.08,0.4,0.6,0.05,0.12
8bf8_native_cut.pdb,8bf8_drfold_cut.pdb,0.56,0.61,0.55,0.13,0.47,0.64,0.05,0.33
