target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
7qsh_native_cut.pdb,7qsh_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7qsh_native_cut.pdb,7qsh_rf_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7qsh_native_cut.pdb,7qsh_rhofold_cut.pdb,0.9,0.91,1.0,0.71,1.0,1.0,0.5,1.0
7qsh_native_cut.pdb,7qsh_df_cut.pdb,0.88,0.86,1.0,0.87,1.0,1.0,0.75,1.0
7qsh_native_cut.pdb,7qsh_trr_cut.pdb,0.85,0.89,0.89,0.5,0.8,1.0,0.25,1.0
7qsh_native_cut.pdb,7qsh_drfold_cut.pdb,0.82,0.86,1.0,0.29,1.0,1.0,0.25,0.33
7qsh_native_cut.pdb,7qsh_rnac_cut.pdb,0.78,0.71,0.91,1.0,1.0,0.83,1.0,1.0
7qsh_native_cut.pdb,7qsh_3drna_cut.pdb,0.61,0.57,0.8,0.58,0.8,0.8,0.5,0.67
