target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
pz1_native_cut.pdb,pz1_native_cut.pdb,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_df_cut.pdb,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_drfold_cut.pdb,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_trr_cut.pdb,0.84,0.84,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_rf_cut.pdb,0.64,0.75,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_rhofold_cut.pdb,0.62,0.72,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_3drna_cut.pdb,0.59,0.7,0.0,0.0,0.0,0.0,0.0,0.0
pz1_native_cut.pdb,pz1_rnac_cut.pdb,0.49,0.65,0.0,0.0,0.0,0.0,0.0,0.0
