target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
pz14_native_cut.pdb,pz14_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pz14_native_cut.pdb,pz14_df_cut.pdb,0.86,0.84,1.0,0.79,1.0,1.0,0.62,1.0
pz14_native_cut.pdb,pz14_rf_cut.pdb,0.85,0.83,0.97,0.71,0.93,1.0,0.5,1.0
pz14_native_cut.pdb,pz14_drfold_cut.pdb,0.84,0.83,1.0,0.53,1.0,1.0,0.38,0.75
pz14_native_cut.pdb,pz14_rhofold_cut.pdb,0.83,0.81,1.0,0.61,1.0,1.0,0.38,1.0
pz14_native_cut.pdb,pz14_3drna_cut.pdb,0.82,0.83,0.9,0.53,0.87,0.93,0.38,0.75
pz14_native_cut.pdb,pz14_trr_cut.pdb,0.8,0.82,0.82,0.61,0.67,1.0,0.38,1.0
pz14_native_cut.pdb,pz14_rnac_cut.pdb,0.79,0.76,1.0,0.61,1.0,1.0,0.38,1.0
