target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
pz33_native_cut.pdb,pz33_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pz33_native_cut.pdb,pz33_df_cut.pdb,0.84,0.84,0.89,0.71,0.79,1.0,0.5,1.0
pz33_native_cut.pdb,pz33_rnac_cut.pdb,0.82,0.78,0.96,0.73,0.93,1.0,0.67,0.8
pz33_native_cut.pdb,pz33_rf_cut.pdb,0.8,0.81,0.84,0.67,0.71,1.0,0.67,0.67
pz33_native_cut.pdb,pz33_rhofold_cut.pdb,0.79,0.79,0.85,0.61,0.79,0.92,0.5,0.75
pz33_native_cut.pdb,pz33_trr_cut.pdb,0.79,0.85,0.8,0.36,0.64,1.0,0.33,0.4
pz33_native_cut.pdb,pz33_3drna_cut.pdb,0.78,0.82,0.84,0.46,0.71,1.0,0.5,0.43
pz33_native_cut.pdb,pz33_drfold_cut.pdb,0.78,0.79,0.89,0.41,0.79,1.0,0.17,1.0
