target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
pz7_native_cut.pdb,pz7_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pz7_native_cut.pdb,pz7_rf_cut.pdb,0.89,0.89,0.96,0.47,0.96,0.96,0.33,0.67
pz7_native_cut.pdb,pz7_df_cut.pdb,0.86,0.87,0.94,0.36,0.92,0.96,0.33,0.4
pz7_native_cut.pdb,pz7_drfold_cut.pdb,0.86,0.84,0.98,0.61,0.96,1.0,0.5,0.75
pz7_native_cut.pdb,pz7_rhofold_cut.pdb,0.84,0.83,0.94,0.47,0.96,0.93,0.33,0.67
pz7_native_cut.pdb,pz7_rnac_cut.pdb,0.8,0.78,0.96,0.31,1.0,0.93,0.33,0.29
pz7_native_cut.pdb,pz7_trr_cut.pdb,0.79,0.82,0.78,0.29,0.62,1.0,0.17,0.5
pz7_native_cut.pdb,pz7_3drna_cut.pdb,0.78,0.76,0.94,0.36,0.88,1.0,0.33,0.4
