target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
pz15_native_cut.pdb,pz15_native_cut.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pz15_native_cut.pdb,pz15_rf_cut.pdb,0.96,0.97,1.0,0.87,1.0,1.0,1.0,0.75
pz15_native_cut.pdb,pz15_rhofold_cut.pdb,0.9,0.93,0.91,0.41,0.83,1.0,0.33,0.5
pz15_native_cut.pdb,pz15_df_cut.pdb,0.88,0.9,0.91,0.41,0.83,1.0,0.33,0.5
pz15_native_cut.pdb,pz15_drfold_cut.pdb,0.84,0.86,0.91,0.0,0.83,1.0,0.0,0.0
pz15_native_cut.pdb,pz15_trr_cut.pdb,0.81,0.87,0.58,0.0,0.33,1.0,0.0,0.0
pz15_native_cut.pdb,pz15_3drna_cut.pdb,0.61,0.64,0.72,0.0,0.83,0.62,0.0,0.0
pz15_native_cut.pdb,pz15_rnac_cut.pdb,0.61,0.63,0.72,0.0,0.83,0.62,0.0,0.0
